suite,instance,seed,num_variables,domain_size,density,strategy,success,status,initial_core_size,final_core_size,expansions,total_time_ns,full_scope_required
structural,d8_c24,50,24,8,1.0,fullscope,True,optimal,24,24,0,7640100,True
structural,d8_c24,51,24,8,1.0,radius1,True,optimal,13,13,0,1622300,False
structural,d8_c24,51,24,8,1.0,explanation,True,optimal,8,8,0,893500,False
structural,d8_c24,51,24,8,1.0,fullscope,True,optimal,24,24,0,8269100,True
structural,d8_c36,42,24,8,1.5,radius1,True,optimal,17,17,0,1402400,False
structural,d8_c36,42,24,8,1.5,explanation,True,optimal,7,7,0,1074900,False
structural,d8_c36,42,24,8,1.5,fullscope,True,optimal,24,24,0,4159000,True
structural,d8_c36,43,24,8,1.5,radius1,True,optimal,21,21,0,1690800,False
structural,d8_c36,43,24,8,1.5,explanation,True,optimal,9,9,0,1225900,False
structural,d8_c36,43,24,8,1.5,fullscope,True,optimal,24,24,0,4206800,True
structural,d8_c36,44,24,8,1.5,radius1,True,optimal,18,18,0,1342800,False
structural,d8_c36,44,24,8,1.5,explanation,True,optimal,8,8,0,900200,False
structural,d8_c36,44,24,8,1.5,fullscope,True,optimal,24,24,0,4259100,True
structural,d8_c36,45,24,8,1.5,radius1,True,optimal,19,19,0,1249400,False
structural,d8_c36,45,24,8,1.5,explanation,True,optimal,11,11,0,1115700,False
structural,d8_c36,45,24,8,1.5,fullscope,True,optimal,24,24,0,4819100,True
structural,d8_c36,46,24,8,1.5,radius1,True,optimal,15,15,0,1283000,False
structural,d8_c36,46,24,8,1.5,explanation,True,optimal,7,7,0,887300,False
structural,d8_c36,46,24,8,1.5,fullscope,True,optimal,24,24,0,3864800,True
structural,d8_c36,47,24,8,1.5,radius1,True,optimal,17,17,0,1287000,False
structural,d8_c36,47,24,8,1.5,explanation,True,optimal,9,9,0,1146200,False
structural,d8_c36,47,24,8,1.5,fullscope,True,optimal,24,24,0,3918100,True
structural,d8_c36,48,24,8,1.5,radius1,True,optimal,22,22,0,1522900,False
structural,d8_c36,48,24,8,1.5,explanation,True,optimal,10,10,0,1304300,False
structural,d8_c36,48,24,8,1.5,fullscope,True,optimal,24,24,0,7256300,True
