Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,35.86578369140625,False,False,False,False,0,11.220513689316938,4.5630709446705256e-05,0.04400000002,0.37165490546777596,AblationCfg,0.6,3.0,10,22,Repair radius h=2
VeriXApp,True,42.44089126586914,True,True,True,False,2,9.050447665844205,6.010752396845742e-05,0.04000000002,0.33931685303706766,AblationCfg,0.6,3.0,10,23,Full VeriXApp
VeriXApp,True,471.68827056884766,False,False,False,False,0,9.548695319213373,5.864675552828647e-05,0.04000000002,0.3426549578890712,AblationCfg,0.6,3.0,10,23,No polarization
VeriXApp,False,37.9483699798584,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,23,No exact repair
VeriXApp,True,41.01109504699707,True,True,True,False,2,9.050447665844205,6.010752396845742e-05,0.04000000002,0.33931685303706766,AblationCfg,0.6,3.0,10,23,Repair radius h=0
VeriXApp,True,40.5426025390625,True,True,True,False,2,9.050447665844205,6.010752396845742e-05,0.04000000002,0.33931685303706766,AblationCfg,0.6,3.0,10,23,Repair radius h=1
VeriXApp,True,40.64583778381348,True,True,True,False,2,9.050447665844205,6.010752396845742e-05,0.04000000002,0.33931685303706766,AblationCfg,0.6,3.0,10,23,Repair radius h=2
VeriXApp,True,54.53824996948242,False,False,False,False,0,10.171984105259929,5.190727733510431e-05,0.036000000020000006,0.47351856371866535,AblationCfg,0.6,3.0,10,24,Full VeriXApp
VeriXApp,True,257.4152946472168,False,False,False,False,0,10.756911181557584,4.9084722471748286e-05,0.036000000020000006,0.42438947607971206,AblationCfg,0.6,3.0,10,24,No polarization
VeriXApp,True,53.6494255065918,False,False,False,False,0,10.171984105259929,5.190727733510431e-05,0.036000000020000006,0.47351856371866535,AblationCfg,0.6,3.0,10,24,No exact repair
VeriXApp,True,55.016279220581055,False,False,False,False,0,10.171984105259929,5.190727733510431e-05,0.036000000020000006,0.47351856371866535,AblationCfg,0.6,3.0,10,24,Repair radius h=0
VeriXApp,True,54.318904876708984,False,False,False,False,0,10.171984105259929,5.190727733510431e-05,0.036000000020000006,0.47351856371866535,AblationCfg,0.6,3.0,10,24,Repair radius h=1
VeriXApp,True,54.05735969543457,False,False,False,False,0,10.171984105259929,5.190727733510431e-05,0.036000000020000006,0.47351856371866535,AblationCfg,0.6,3.0,10,24,Repair radius h=2
